(599, 338)
(621, 316)
(640, 284)
(616, 257)
(624, 248)
(616, 229)
(601, 219)
(590, 228)
(584, 228)
(588, 215)
(570, 189)
(546, 156)
(526, 135)
(491, 104)
(452, 96)
(419, 99)
(394, 108)
(370, 128)
(348, 165)
(344, 187)
(353, 207)
(360, 226)
(369, 240)
(365, 254)
(365, 263)
(372, 268)
(378, 265)
(378, 290)
(381, 298)
(389, 306)
(400, 309)
(409, 311)
(413, 316)
(428, 316)
(427, 335)
(446, 337)
(463, 323)
(482, 312)
(502, 303)
(531, 295)
(551, 295)
(572, 300)
(583, 306)
(590, 312)
(594, 317)
(595, 325)
(596, 335)
(599, 339)
